name,total_reviews,avg_rating,min_rating,max_rating,negative_reviews,neutral_reviews,positive_reviews,not_recommended_count,avg_helpful_votes,total_helpful_votes,avg_review_length_words,first_review_date,last_review_date,brand,primaryCategories,negative_review_rate,positive_review_rate,not_recommended_rate,review_period_days,review_frequency
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",82,4.585365853658536,1,5,2,2,78,3,0.573170731707317,47.0,25.853658536585368,2017-06-22 00:00:00+00:00,2018-04-26 00:00:00+00:00,Amazon,Electronics,0.024390243902439025,0.9512195121951219,0.036585365853658534,308.0,0.2662337662337662
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",233,4.630901287553648,1,5,9,10,214,12,0.45493562231759654,106.0,41.0,2017-06-15 00:00:00+00:00,2018-09-10 00:32:46+00:00,Amazon,Electronics,0.03862660944206009,0.9184549356223176,0.05150214592274678,452.0,0.5154867256637168
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Pink Kid-Proof Case",293,4.6416382252559725,1,5,6,11,276,9,0.31399317406143346,92.0,34.044368600682596,2017-06-21 00:00:00+00:00,2018-05-25 00:00:00+00:00,Amazon,Electronics,0.020477815699658702,0.9419795221843004,0.030716723549488054,338.0,0.8668639053254438
"All-New Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Marine Blue - with Special Offers",883,4.578708946772367,1,5,15,45,823,34,0.2853907134767837,252.0,31.682899207248017,2017-06-20 00:00:00+00:00,2018-05-26 00:00:00+00:00,Amazon,Electronics,0.01698754246885617,0.9320498301245753,0.03850509626274066,340.0,2.597058823529412
"All-New Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Marine Blue - with Special Offers",160,4.6,1,5,5,2,153,9,0.73125,117.0,35.90625,2017-06-07 00:00:00+00:00,2018-05-22 00:00:00+00:00,Amazon,Electronics,0.03125,0.95625,0.05625,349.0,0.4584527220630373
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black",2370,4.584388185654008,1,5,47,80,2243,92,0.17172995780590716,407.0,32.01476793248945,2016-09-21 00:00:00+00:00,2017-07-28 00:00:00+00:00,Amazon,Electronics,0.019831223628691982,0.9464135021097047,0.038818565400843885,310.0,7.645161290322581
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",67,4.522388059701493,1,5,2,0,65,2,0.07462686567164178,5.0,33.35820895522388,2016-11-04 00:00:00+00:00,2017-04-04 00:00:00+00:00,Amazon,Electronics,0.029850746268656716,0.9701492537313433,0.029850746268656716,151.0,0.44370860927152317
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",140,4.542857142857143,1,5,5,4,131,8,1.1714285714285715,164.0,47.31428571428572,2016-10-05 00:00:00+00:00,2017-06-02 00:00:00+00:00,Amazon,Electronics,0.03571428571428571,0.9357142857142857,0.05714285714285714,240.0,0.5833333333333334
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",156,4.583333333333333,1,5,5,3,148,7,1.2179487179487178,190.0,47.55769230769231,2016-10-05 00:00:00+00:00,2017-06-03 00:00:00+00:00,Amazon,Electronics,0.03205128205128205,0.9487179487179487,0.04487179487179487,241.0,0.6473029045643154
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",115,4.565217391304348,1,5,3,4,108,6,1.5478260869565217,178.0,54.93043478260869,2016-10-05 00:00:00+00:00,2017-05-09 00:00:00+00:00,Amazon,Electronics,0.02608695652173913,0.9391304347826087,0.05217391304347826,216.0,0.5324074074074074
